Name of Project,Ministry/Deptt.,Sector,State,Approved Cost (Rs Cr),Latest Revised Cost (Rs Cr),Cumm. Expenditure (Rs Cr),Date of Compl. (Orig.),Date of Compl. (Rev.),Physical Progress (%),Source Status
"Four-laning of NH-44 from Nagpur to Hyderabad (Package I)",Ministry of Road Transport & Highways,Roads,Telangana,1247.00,1550.00,1200.50,Mar-2022,Dec-2024,92.5,Ongoing
"Four-laning of NH-44 from Nagpur to Hyderabad (Package II)",Ministry of Road Transport & Highways,Roads,Maharashtra,985.00,1180.00,960.30,Mar-2022,Mar-2025,84.2,Ongoing
"NTPC Lara Super Thermal Power Project (Stage-I 1600 MW)",Ministry of Power,Power,Chhattisgarh,12300.00,15200.00,14100.00,Mar-2021,Jun-2025,95.0,Completed
"Metro Rail Lucknow Phase-2",Ministry of Housing and Urban Affairs,Urban Development,Uttar Pradesh,8654.00,9200.00,5200.00,Dec-2024,Dec-2026,56.8,Ongoing
"Rishikesh-Karnaprayag Rail Line Project",Ministry of Railways,Railways,Uttarakhand,16216.00,18900.00,11200.00,Mar-2024,Jun-2027,63.0,Ongoing
"Polavaram Irrigation Project",Ministry of Jal Shakti,Irrigation,Andhra Pradesh,20398.61,58000.00,26400.00,Dec-2018,Mar-2028,61.2,Ongoing
"Zojila Pass Tunnel",Ministry of Road Transport & Highways,Roads,Jammu and Kashmir,2519.23,4100.00,2200.00,Sep-2026,Sep-2029,54.8,Ongoing
"Delhi-Meerut RRTS Corridor",Ministry of Housing and Urban Affairs,Urban Development,Uttar Pradesh,30274.00,34200.00,30100.00,Mar-2023,Dec-2025,89.0,Ongoing
"Dibang Multipurpose Project",Ministry of Jal Shakti,Irrigation,Arunachal Pradesh,28000.00,36000.00,11200.00,Mar-2028,Mar-2031,30.2,Ongoing
"Turga Pumped Storage Project (1000 MW)",Ministry of Power,Power,West Bengal,5600.00,7400.00,3400.00,Mar-2027,Jun-2028,46.5,Ongoing
"Kochi Metro Rail Phase-2",Ministry of Housing and Urban Affairs,Urban Development,Kerala,1957.05,2300.00,1150.00,Sep-2024,Sep-2026,52.0,Ongoing
"Bangalore Metro Phase-2 Reach-1",Ministry of Housing and Urban Affairs,Urban Development,Karnataka,11609.00,15200.00,13400.00,Mar-2024,Mar-2026,91.0,Ongoing
"Srinagar Ring Road Phase-I",Ministry of Road Transport & Highways,Roads,Jammu and Kashmir,899.00,1100.00,940.00,Jun-2022,Dec-2024,99.0,Ongoing
