Name of Project,Ministry/Deptt.,Sector,State,Approved Cost (Rs Cr),Latest Revised Cost (Rs Cr),Cumm. Expenditure (Rs Cr),Date of Compl. (Orig.),Date of Compl. (Rev.),Physical Progress (%),Source Status
"Four-laning of NH-44 from Nagpur to Hyderabad (Package I)",Ministry of Road Transport & Highways,Roads,Telangana,1247.00,1485.00,1102.50,Mar-2022,Sep-2024,89.5,Ongoing
"Four-laning of NH-44 from Nagpur to Hyderabad (Package II)",Ministry of Road Transport & Highways,Roads,Maharashtra,985.00,1120.00,876.30,Mar-2022,Dec-2024,78.2,Ongoing
"Dedicated Freight Corridor — Western Corridor Phase I",Ministry of Railways,Railways,Rajasthan,3250.00,4180.00,3950.00,Mar-2020,Mar-2022,98.5,Completed
"Dedicated Freight Corridor — Eastern Corridor Kanpur-DDU",Ministry of Railways,Railways,Uttar Pradesh,2890.00,3640.00,3210.00,Mar-2021,Jun-2022,96.0,Completed
"NTPC Lara Super Thermal Power Project (Stage-I 1600 MW)",Ministry of Power,Power,Chhattisgarh,12300.00,14800.00,13100.00,Mar-2021,Dec-2024,91.0,Ongoing
"AIIMS Mangalagiri",Ministry of Health & Family Welfare,Health,Andhra Pradesh,1618.00,1850.00,1422.00,Dec-2020,Dec-2023,97.0,Ongoing
"Metro Rail Lucknow Phase-2",Ministry of Housing and Urban Affairs,Urban Development,Uttar Pradesh,8654.00,9200.00,4100.00,Dec-2024,Jun-2026,44.6,Ongoing
"Rishikesh-Karnaprayag Rail Line Project",Ministry of Railways,Railways,Uttarakhand,16216.00,17890.00,9840.00,Mar-2024,Mar-2027,55.0,Ongoing
"NH-148 (Bikaner to Phalodi) Four-Laning",Ministry of Road Transport & Highways,Roads,Rajasthan,770.00,892.00,720.00,Jun-2021,Dec-2023,94.0,Ongoing
"Polavaram Irrigation Project",Ministry of Jal Shakti,Irrigation,Andhra Pradesh,20398.61,55548.87,22400.00,Dec-2018,Dec-2027,56.2,Ongoing
"PMAY-U Housing for All — Telangana Package",Ministry of Housing and Urban Affairs,Urban Development,Telangana,3450.00,3900.00,3100.00,Mar-2022,Mar-2024,92.0,Ongoing
"Zojila Pass Tunnel",Ministry of Road Transport & Highways,Roads,Jammu and Kashmir,2519.23,3720.00,1850.00,Sep-2026,Mar-2029,49.8,Ongoing
"Kochi Metro Rail Phase-2",Ministry of Housing and Urban Affairs,Urban Development,Kerala,1957.05,2180.00,980.00,Sep-2024,Jun-2026,44.0,Ongoing
"Char Dham Highway Development — Rishikesh to Rudraprayag",Ministry of Road Transport & Highways,Roads,Uttarakhand,1567.00,1890.00,1560.00,Mar-2020,Jun-2023,96.5,Ongoing
"Sagarmala Port Connectivity — JNPT Expansion",Ministry of Ports,Ports,Maharashtra,8421.00,9800.00,8200.00,Mar-2020,Mar-2022,99.0,Completed
"AIIMS Bibinagar (Hyderabad)",Ministry of Health & Family Welfare,Health,Telangana,1023.00,1195.00,1050.00,Dec-2021,Jun-2024,98.0,Ongoing
"Coastal Economic Zone — Paradip Port",Ministry of Ports,Ports,Odisha,2340.00,2800.00,2100.00,Mar-2022,Dec-2024,74.2,Ongoing
"NH-66 Kozhikode Bypass",Ministry of Road Transport & Highways,Roads,Kerala,672.00,820.00,750.00,Jun-2020,Dec-2022,98.5,Ongoing
"NTPC Khargone STPS (2x660 MW)",Ministry of Power,Power,Madhya Pradesh,8890.00,10200.00,9100.00,Mar-2021,Jun-2023,99.0,Completed
"Bangalore Metro Phase-2 Reach-1",Ministry of Housing and Urban Affairs,Urban Development,Karnataka,11609.00,14788.00,12100.00,Mar-2024,Dec-2025,82.0,Ongoing
"Agra-Lucknow Expressway Maintenance and Upgradation",Ministry of Road Transport & Highways,Roads,Uttar Pradesh,532.00,612.00,590.00,Mar-2022,Jun-2023,99.5,Completed
"Bhadla Solar Park — Phases III and IV",Ministry of New and Renewable Energy,Renewable Energy,Rajasthan,4340.00,4340.00,4340.00,Mar-2020,Mar-2020,100.0,Completed
"Tarbela Fifth Extension Project",Ministry of Jal Shakti,Irrigation,Himachal Pradesh,1834.00,2290.00,1600.00,Mar-2023,Dec-2025,69.8,Ongoing
"Delhi-Meerut RRTS Corridor",Ministry of Housing and Urban Affairs,Urban Development,Uttar Pradesh,30274.00,33500.00,27800.00,Mar-2023,Jun-2025,83.0,Ongoing
"Dibang Multipurpose Project",Ministry of Jal Shakti,Irrigation,Arunachal Pradesh,28000.00,34320.00,8900.00,Mar-2028,Mar-2030,25.8,Ongoing
"Srinagar Ring Road Phase-I",Ministry of Road Transport & Highways,Roads,Jammu and Kashmir,899.00,1012.00,820.00,Jun-2022,Jun-2024,96.0,Ongoing
"Solar Energy Corporation 500 MW Bhadla",Ministry of New and Renewable Energy,Renewable Energy,Rajasthan,2200.00,2200.00,2200.00,Jun-2021,Jun-2021,100.0,Completed
"Turga Pumped Storage Project (1000 MW)",Ministry of Power,Power,West Bengal,5600.00,6900.00,2800.00,Mar-2027,Mar-2028,40.5,Ongoing
"AIIMS Rajkot",Ministry of Health & Family Welfare,Health,Gujarat,1195.00,1340.00,1020.00,Mar-2022,Dec-2024,96.0,Ongoing
"National Highway 48 — Ahmedabad to Vadodara Expansion",Ministry of Road Transport & Highways,Roads,Gujarat,1680.00,1920.00,1760.00,Mar-2021,Jun-2022,99.0,Completed
